,Unnamed: 0,excel,id,conversation_id,created_at,date,timezone,place,text,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,labels
2400,2400,2400,1.25e+18,1.25e+18,1587750000000.0,24-04-2020 23:55,530,,"Learn the Art of Meditation, 
techniques that boost immunity, 
beat the lockdown stress and anxiety, learn life skills, 
relax, refresh & rejuvenate, 
equip yourself with
tools & techniques 
to have a 
""strong mind"" 
and 
""unshakeable smile"".
#Covid19India #lockdownextension","['#covid19india', '#lockdownextension']",[],91073162.0,91073162.0,3MoorthyPTKG,Thirumoorthy,5,23,https://twitter.com/3MoorthyPTKG/status/1253751834155511811,False,2,1,2,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '91073162', 'username': '3MoorthyPTKG'}]",,,,,learn   art   medit   techniqu   boost   immun   beat   lockdown   stress   anxieti   learn   life   skill   relax   refresh   rejuven   equip   tool   techniqu   strong   mind   unshak   smile   covidindia   lockdownextens  ,1
3036,3036,3036,1.25e+18,1.25e+18,1587840000000.0,25-04-2020 22:50,530,,"Comic Strip 
Day 32
Quarantine
#21dayslockdown
#21dayslockdownindia 
Kolkata, 2020
. . . .
. . . 
#covid_19 #covid19india #covid19kolkata #corona #covidart #covidartexhibit #coronaindia #artquarantinedâ¦  https://www.instagram.com/p/B_aXk79jekv/?igshid=1lhdkz7ss5pm3Â â¦","['#21dayslockdown', '#21dayslockdownindia', '#covid_19', '#covid19india', '#covid19kolkata', '#corona', '#covidart', '#covidartexhibit', '#coronaindia', '#artquarantined']",[],2351739758.0,2351739758.0,kls_rt,Ritam Talukdar,6,22,https://twitter.com/kls_rt/status/1254097945529483266,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2351739758', 'username': 'kls_rt'}]",,,,,comic   strip   day   quarantin   dayslockdown   dayslockdownindia   kolkata   covid   covidindia   covidkolkata   corona   covidart   covidartexhibit   coronaindia   artquarantin  ,-1
3094,3094,3094,1.25e+18,1.25e+18,1587930000000.0,26-04-2020 23:52,530,,Look at the  wonderful way relief material is being  distributed in Manipur. Dignity and respect for everyone in the entire process. So much to learn from this beautiful State in India. All DCs/District Collectors should emulate this ðð#Covid19India #lockdown #CoronavirusIndia https://twitter.com/supriyasahuias/status/1254197025773518848Â â¦,"['#covid19india', '#lockdown', '#coronavirusindia']",[],8.83e+17,8.83e+17,VikrantG4444,à¤µà¤¿à¤à¥à¤°à¤¾à¤à¤¤ à¤à¥à¤·à¥à¤£à¤à¤¾à¤à¤¤ à¤à¥à¤à¤°,7,23,https://twitter.com/VikrantG4444/status/1254476025536233472,False,0,0,0,https://twitter.com/supriyasahuias/status/1254197025773518848,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '883288723940667392', 'username': 'VikrantG4444'}]",,,,,look   wonder   way   relief   materi   distribut   manipur   digniti   respect   everyon   entir   process   much   learn   beauti   state   india   dc   district   collector   emul   covidindia   lockdown   coronavirusindia  ,1
3102,3102,3102,1.25e+18,1.25e+18,1587930000000.0,26-04-2020 23:51,530,,"Exam k chakkar mein desh ko chuna matt laga dena. Btw where are Gujarat Toppers ? Education is joke for 20 years 
@imBhupendrasinh bhopara ð @GTUoffice @HRDMinistry #Covid19India #covidoutbreak #Covid_19","['#covid19india', '#covidoutbreak', '#covid_19']",[],1243988089.0,1243988089.0,TavanChampaneri,Tavan ð®ð³,7,23,https://twitter.com/TavanChampaneri/status/1254475765946519552,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1243988089', 'username': 'TavanChampaneri'}, {'user_id': '613537399', 'username': 'imBhupendrasinh'}, {'user_id': '3226877522', 'username': 'GTUoffice'}, {'user_id': '2574232910', 'username': 'HRDMinistry'}]",,,,,exam   k   chakkar   mein   desh   ko   chuna   matt   laga   dena   btw   gujarat   topper   educ   joke   year   bhopara   covidindia   covidoutbreak   covid  ,0
3130,3130,3130,1.25e+18,1.25e+18,1587930000000.0,26-04-2020 23:47,530,,"Exam k chakkar mein desh ko chuna matt laga dena. Btw where are Gujarat Toppers ? Education is joke for 20 years 
@imBhupendrasinh @GTUoffice @HRDMinistry #Covid19India #covidoutbreak #coronavirus","['#covid19india', '#covidoutbreak', '#coronavirus']",[],1243988089.0,1243988089.0,TavanChampaneri,Tavan ð®ð³,7,23,https://twitter.com/TavanChampaneri/status/1254474671208009728,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1243988089', 'username': 'TavanChampaneri'}, {'user_id': '613537399', 'username': 'imBhupendrasinh'}, {'user_id': '3226877522', 'username': 'GTUoffice'}, {'user_id': '2574232910', 'username': 'HRDMinistry'}]",,,,,exam   k   chakkar   mein   desh   ko   chuna   matt   laga   dena   btw   gujarat   topper   educ   joke   year   covidindia   covidoutbreak   coronaviru  ,0
3133,3133,3133,1.25e+18,1.25e+18,1587930000000.0,26-04-2020 23:46,530,,"When Messi and football is also the inspiration vs covid! @TeamMessi
@FCBarcelona
#Covid19India #COVID  http://www.thelateralz.com/2020/04/messi-fights-covid-19-in-kolkata/Â â¦ pic.twitter.com/PB6VrzFeaB","['#covid19india', '#covid']",[],27596944.0,27596944.0,henrypires49,SC,7,23,https://twitter.com/henrypires49/status/1254474502236336129,False,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '27596944', 'username': 'henrypires49'}, {'user_id': '1058376110', 'username': 'TeamMessi'}, {'user_id': '96951800', 'username': 'FCBarcelona'}]",,,,,messi   footbal   also   inspir   v   covid   covidindia   covid  ,-1
3159,3159,3159,1.25e+18,1.25e+18,1587920000000.0,26-04-2020 23:42,530,,"Exam k chakkar mein desh ko chuna matt laga dena. Btw where are Gujarat Toppers ? Education is joke for 20 years 
@imBhupendrasinh @GTUoffice @HRDMinistry #Covid19India #covidoutbreak #Covid_19","['#covid19india', '#covidoutbreak', '#covid_19']",[],1243988089.0,1243988089.0,TavanChampaneri,Tavan ð®ð³,7,23,https://twitter.com/TavanChampaneri/status/1254473337708752896,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1243988089', 'username': 'TavanChampaneri'}, {'user_id': '613537399', 'username': 'imBhupendrasinh'}, {'user_id': '3226877522', 'username': 'GTUoffice'}, {'user_id': '2574232910', 'username': 'HRDMinistry'}]",,,,,exam   k   chakkar   mein   desh   ko   chuna   matt   laga   dena   btw   gujarat   topper   educ   joke   year   covidindia   covidoutbreak   covid  ,0
3160,3160,3160,1.25e+18,1.25e+18,1587920000000.0,26-04-2020 23:41,530,,"Indeed a great gesture,  it's not at all easy for someone to part with such treasures 
#Covid_19india
#Covid19India #COVID2019india https://twitter.com/ANI/status/1254022536670482432Â â¦","['#covid_19india', '#covid19india', '#covid2019india']",[],2672705335.0,2672705335.0,MJSrikant,MJ Srikant,7,23,https://twitter.com/MJSrikant/status/1254473312526163968,False,0,0,0,https://twitter.com/ANI/status/1254022536670482432,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2672705335', 'username': 'MJSrikant'}]",,,,,inde   great   gestur   easi   someon   part   treasur   covid   india   covidindia   covidindia  ,-1
3166,3166,3166,1.25e+18,1.25e+18,1587920000000.0,26-04-2020 23:41,530,,New @NetflixIndia recommendation #coronavirus explained. Very concise and informative. #Covid_19 #Covid_19india #Covid19India,"['#coronavirus', '#covid_19', '#covid_19india', '#covid19india']",[],203903389.0,203903389.0,sharvaanishah,Sharvaaniâ,7,23,https://twitter.com/sharvaanishah/status/1254473232956002304,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '203903389', 'username': 'sharvaanishah'}, {'user_id': '4502936240', 'username': 'NetflixIndia'}]",,,,,new   recommend   coronaviru   explain   concis   inform   covid   covid   india   covidindia  ,-1
3708,3708,3708,1.25e+18,1.25e+18,1588010000000.0,27-04-2020 22:54,530,,Check out this simulation to hopefully better understand some of the plight of the marginalised in this lockdown.  http://covid.xrlabs.cloudÂ  #Covid19India #COVID19 #Covid_19india #COVID19Pandemic,"['#covid19india', '#covid19', '#covid_19india', '#covid19pandemic']",[],1.02e+18,1.02e+18,YeinUdaan,Yein Udaan,1,22,https://twitter.com/YeinUdaan/status/1254823836392001536,False,1,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1020665027651620864', 'username': 'YeinUdaan'}]",,,,,check   simul   hope   better   understand   plight   marginalis   lockdown   covidindia   covid   covid   india   covidpandem  ,-1
3927,3927,3927,1.26e+18,1.26e+18,1588100000000.0,28-04-2020 23:31,530,,"India is finghting aganst Covid 19 #Covid19India
#india_can_do
#SaluteCoronaWarriors
#Doctor #Nurse #Police #HealthWorkers
#stay_at_home #Stay_Safe
#proud_to_be_healthworker
#JaiHind pic.twitter.com/OkBCh1aiJ0","['#covid19india', '#india_can_do', '#salutecoronawarriors', '#doctor', '#nurse', '#police', '#healthworkers', '#stay_at_home', '#stay_safe', '#proud_to_be_healthworker', '#jaihind']",[],166639667.0,166639667.0,iamIchatterjee,Indranil Chatterjee,2,23,https://twitter.com/iamIchatterjee/status/1255195500443295746,False,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '166639667', 'username': 'iamIchatterjee'}]",,,,,india   finght   aganst   covid   covidindia   india   salutecoronawarrior   doctor   nurs   polic   healthwork   stay   home   stay   safe   proud   healthwork   jaihind  ,1
4096,4096,4096,1.26e+18,1.26e+18,1588090000000.0,28-04-2020 22:59,530,,"If there are negativity there are positivity goes alongside always. Happy to see 19 COVID-19 positive cases recovered from Kashmir and 12 recovered from Jammu. We will win this battle for so sure
#IndiaFightsCorona
#IndiaFightsCoronavirus
#JammuAndKashmir
#Covid19India
#StayHome pic.twitter.com/pEb7vrVZqw","['#indiafightscorona', '#indiafightscoronavirus', '#jammuandkashmir', '#covid19india', '#stayhome']",[],114723071.0,114723071.0,DrSunil_Saliada,Dr. Sunil Kumar. ð®ð³ à¤¡à¥. à¤¸à¥à¤¨à¥à¤² à¤à¥à¤®à¤¾à¤°,2,22,https://twitter.com/DrSunil_Saliada/status/1255187289338187776,False,1,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '114723071', 'username': 'DrSunil_Saliada'}]",,,,,neg   posit   go   alongsid   alway   happi   see   covid   posit   case   recov   kashmir   recov   jammu   win   battl   sure   indiafightscorona   indiafightscoronaviru   jammuandkashmir   covidindia   stayhom  ,1
4260,4260,4260,1.26e+18,1.26e+18,1588180000000.0,29-04-2020 23:53,530,,"Looks about right! India is projected to be 97% Corona free by May 26, 100% by August 6, #Covid19India #COVID19 http://ddi.sutd.edu.sg/Â ","['#covid19india', '#covid19']",[],47734943.0,47734943.0,mohitkingra,Mohit Kingra,3,23,https://twitter.com/mohitkingra/status/1255563423120871424,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '47734943', 'username': 'mohitkingra'}]",,,,,look   right   india   project   corona   free   may   august   covidindia   covid  ,-1
4318,4318,4318,1.26e+18,1.26e+18,1588180000000.0,29-04-2020 23:34,530,,CHINA killed world wide human beings in the year 2020 #ChineseVirus #coronaupdatesindia #Covid19India #COVIDã¼19 #COVID19 #Corona #StayHomeSaveLives #StayHomeStaySafe #StayAtHomeAndStaySafe #lockdowneffect #LockdownExtended #ChinaVirus #Killer_China,"['#chinesevirus', '#coronaupdatesindia', '#covid19india', '#covidã¼19', '#covid19', '#corona', '#stayhomesavelives', '#stayhomestaysafe', '#stayathomeandstaysafe', '#lockdowneffect', '#lockdownextended', '#chinavirus', '#killer_china']",[],1412759924.0,1412759924.0,piyamamtiyas,à¦¤à¦¿à§à¦¾à¦¸ à¦¦à¦¾à¦¸ à¦®à¦¨à§à¦¡à¦²,3,23,https://twitter.com/piyamamtiyas/status/1255558685302173696,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1412759924', 'username': 'piyamamtiyas'}]",,,,,china   kill   world   wide   human   be   year   chineseviru   coronaupdatesindia   covidindia   covid   covid   corona   stayhomesavel   stayhomestaysaf   stayathomeandstaysaf   lockdowneffect   lockdownextend   chinaviru   killer   china  ,-1
4729,4729,4729,1.26e+18,1.26e+18,1588180000000.0,29-04-2020 22:00,530,,These frontline warriors are giving their lives doing public service for #Mumbaikars . Every one is a national hero.  Our respect n heartfelt appreciation to each one.  ð @mybmc @MumbaiPolice @mybmcWardA @CMOMaharashtra #Covid19India #covid  https://twitter.com/ChaiMIRROR/status/1255483195862245377Â â¦,"['#mumbaikars', '#covid19india', '#covid']",[],9.89e+17,9.89e+17,NPCCA,Nariman Point Churchgate Citizens Welfare Trust,3,22,https://twitter.com/NPCCA/status/1255534887383240706,False,2,0,1,https://twitter.com/ChaiMIRROR/status/1255483195862245377,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '989476382009954304', 'username': 'NPCCA'}, {'user_id': '1200214398', 'username': 'mybmc'}, {'user_id': '4573405572', 'username': 'MumbaiPolice'}, {'user_id': '1140603383952232448', 'username': 'mybmcWardA'}, {'user_id': '2597666894', 'username': 'CMOMaharashtra'}]",,,,,frontlin   warrior   give   life   public   servic   mumbaikar   everi   one   nation   hero   respect   n   heartfelt   appreci   one   covidindia   covid  ,1
4735,4735,4735,1.26e+18,1.26e+18,1588180000000.0,29-04-2020 21:59,530,,New invention on #COVID19 #Covid19India #Muslim #coronavirus #coronaupdatesindia #lovelive #JAMATI_CORONA_JEHAD #Ramadan2020 #Ramjan pic.twitter.com/cG8F6SUY7i,"['#covid19', '#covid19india', '#muslim', '#coronavirus', '#coronaupdatesindia', '#lovelive', '#jamati_corona_jehad', '#ramadan2020', '#ramjan']",[],2768975420.0,2768975420.0,indiandanceworl,Indian Dance World,3,21,https://twitter.com/indiandanceworl/status/1255534755564716035,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2768975420', 'username': 'indiandanceworl'}]",,,,,new   invent   covid   covidindia   muslim   coronaviru   coronaupdatesindia   lovel   jamati   corona   jehad   ramadan   ramjan  ,-1
4831,4831,4831,1.26e+18,1.26e+18,1588270000000.0,30-04-2020 23:39,530,,"Comic Strip 
Day 37
Quarantine
#21dayslockdown
#21dayslockdownindia 
Kolkata, 2020
. . . .
. . . 
#covid_19 #covid19india #covid19kolkata #corona #covidart #covidartexhibit #coronaindia #artquarantinedâ¦  https://www.instagram.com/p/B_nVLRkjHL0/?igshid=170krpmrz8nw8Â â¦","['#21dayslockdown', '#21dayslockdownindia', '#covid_19', '#covid19india', '#covid19kolkata', '#corona', '#covidart', '#covidartexhibit', '#coronaindia', '#artquarantined']",[],2351739758.0,2351739758.0,kls_rt,Ritam Talukdar,4,23,https://twitter.com/kls_rt/status/1255922305328349185,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2351739758', 'username': 'kls_rt'}]",,,,,comic   strip   day   quarantin   dayslockdown   dayslockdownindia   kolkata   covid   covidindia   covidkolkata   corona   covidart   covidartexhibit   coronaindia   artquarantin  ,-1
4865,4865,4865,1.26e+18,1.26e+18,1588270000000.0,30-04-2020 23:32,530,,"How to check and electricity bill online by various methods in Punjab.  https://youtu.be/57kafZTewrgÂ 
#Electricity #electricityboard #RishiKapoor #coronavirus #Covid19India @ Shri Bala G Computers  https://www.instagram.com/p/B_nUY1XpIik/?igshid=uz4p9ch1cvtzÂ â¦","['#electricity', '#electricityboard', '#rishikapoor', '#coronavirus', '#covid19india']",[],3159766069.0,3159766069.0,SBGComputers,Pankaj Kumar,4,23,https://twitter.com/SBGComputers/status/1255920520417226757,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '3159766069', 'username': 'SBGComputers'}]",,,,,check   electr   bill   onlin   variou   method   punjab   electr   electricityboard   rishikapoor   coronaviru   covidindia   shri   bala   g   comput  ,0
